Enfrentamiento_id,Torneo_id,Ronda,Nombre_Enfrentamiento,Numero_Replica,Freestyler_Ganador,Freestyler_Perdedor,Link
VS-2008-15,RB-2008,Final,Hadrian vs Mena,0,F-41,F-48,https://www.youtube.com/watch?v=CojBbNUAObo
VS-2009-01,RB-2009,Cuartos,Arkano vs Rayden,0,F-11,F-52,https://www.youtube.com/watch?v=e4A5Towch6A
VS-2009-02,RB-2009,Cuartos,Frescolate vs Noult,0,F-25,F-09,https://www.youtube.com/watch?v=qk1jM1ovBhw
VS-2009-03,RB-2009,Cuartos,Link One vs Piezas,0,F-39,F-29,https://www.youtube.com/watch?v=YFSoVQgr6sU
VS-2009-04,RB-2009,Cuartos,Chester vs Mcklopedia,0,F-46,F-53,https://www.youtube.com/watch?v=SN9vwAUNfE4
VS-2009-05,RB-2009,Semifinal,Noult vs Rayden,0,F-25,F-11,https://www.youtube.com/watch?v=3SdwBlaW7AA
VS-2009-06,RB-2009,Semifinal,Mcklopedia vs Piezas,1,F-46,F-39,https://www.youtube.com/watch?v=bUNiXfmTH4s
VS-2009-07,RB-2009,Final,Mcklopedia vs Noult,1,F-25,F-46,https://www.youtube.com/watch?v=p3-ZaR-KOdg
VS-2013-01,RB-2013,Cuartos,Chuty vs Doggy Fresh,0,F-61,F-65,https://www.youtube.com/watch?v=MhCSw08QJZ4
VS-2013-02,RB-2013,Cuartos,Jony Beltran vs Stick,0,F-62,F-66,https://www.youtube.com/watch?v=q-oWfrwZa4s
VS-2013-03,RB-2013,Cuartos,Stigma vs Zaeta Flow,0,F-68,F-63,https://www.youtube.com/watch?v=imUM9QZfpv8
VS-2013-04,RB-2013,Cuartos,Ceka vs Dtoke,0,F-64,F-67,https://www.youtube.com/watch?v=uxg1xhfeyD0
VS-2013-05,RB-2013,Semifinal,Chuty vs Jony Beltran,1,F-62,F-61,https://www.youtube.com/watch?v=nJRgNgAPZBU
VS-2013-06,RB-2013,Semifinal,Dtoke vs Stigma,0,F-64,F-68,https://www.youtube.com/watch?v=otn3a-XC4nM
VS-2013-07,RB-2013,Final,Dtoke vs Jony Beltran,0,F-64,F-62,https://www.youtube.com/watch?v=OC-8iVhNuQo
VS-2014-01,RB-2014,Ronda de Posicionamiento,Dtoke vs Sony,0,F-72,F-64,https://www.youtube.com/watch?v=9_4plXQrf_c
VS-2014-02,RB-2014,Ronda de Posicionamiento,Aczino vs Carlitos,0,F-55,F-74,https://www.youtube.com/watch?v=oUvyfdmS2KI
VS-2014-03,RB-2014,Ronda de Posicionamiento,Kaiser vs Oze,0,F-75,F-71,https://www.youtube.com/watch?v=5Qn2Arp8-tI
VS-2014-04,RB-2014,Ronda de Posicionamiento,Big Killa vs Invert,0,F-70,F-73,https://www.youtube.com/watch?v=nNXf9oAu4l0
